customer_uuid,location_title,timestamp_month,rides,revenue_excl_vat
f95b402a-c0bf-4f83-9585-79c436bae9d8,Den Haag,2024-01-01,190.0,735.81
1df5ca95-fcf3-4817-9208-9d085e45bb6e,Hamburg,2024-01-01,6.0,16.6
1deab5a4-2ac4-48ba-8e8d-83da7701eadc,Den Haag,2024-01-01,2.0,19.84
7f1d9501-a213-4a06-ad52-baabff86b849,Amsterdam,2024-01-01,11.0,45.28
1ddaf413-f484-4bff-a6dc-5bc6bb1488a6,Amsterdam,2024-01-01,1.0,2.64
e65aad08-b4b6-4d85-bb90-c2ea89ae6823,Amsterdam,2024-01-01,1.0,6.45
e4d87d63-752c-4722-84a1-bd172e1b8f6a,Rotterdam,2024-01-01,47.0,105.68
e955e693-6a67-4111-a757-cb6127e48ebe,Den Haag,2024-01-01,1.0,3.35
e95286b2-26f0-4000-9d9e-bc793280a95e,Rotterdam,2024-01-01,1.0,9.28
e4d76217-6c54-4739-8708-29a216a7129a,Rotterdam,2024-01-01,10.0,43.43
e966f1fd-beb2-4b53-a7a3-b8ff0fe242ce,Amsterdam,2024-01-01,31.0,105.14
e9502aca-efd2-4499-b540-5ce466e0e796,Berlin,2024-01-01,3.0,10.13
1db189bc-1b9d-4f53-83da-f38be5c4a22b,Amsterdam,2024-01-01,121.0,464.6
1da94700-39bd-4115-bb05-11ca1472a4b1,Rotterdam,2024-01-01,1.0,15.87
1da4a793-6524-4208-929f-40d6e7d29fe6,Den Haag,2024-01-01,21.0,88.27
1d5b39ea-8096-4425-b595-0d08e7a7bc52,Amsterdam,2024-01-01,5.0,28.96
e64d31da-3ddc-45ef-bb0a-a5ed0d123421,Amsterdam,2024-01-01,59.0,189.5
e93c12b1-ba34-43b3-b406-07789e9fa59a,Rotterdam,2024-01-01,2.0,0.5
1d7e17d0-fb6e-441c-9273-3b625b631284,Rotterdam,2024-01-01,82.0,284.37
e939bfe5-57d8-434e-b160-8a2e61826814,Amsterdam,2024-01-01,25.0,130.23
e64a091b-58cc-4337-bf93-231a902c6c1d,Breda,2024-01-01,1.0,3.28
e35fe3cf-7faf-46a5-ba1e-39caa31f3de1,Amsterdam,2024-01-01,42.0,130.17
1d764ed4-8a99-4dca-b9ec-e85ea262e5d0,Den Haag,2024-01-01,1.0,3.01
1dfaf36b-a46f-4822-b90c-3a75ed4484e9,Düsseldorf,2024-01-01,2.0,1.66
1e0d2b79-7ff5-4cad-b1b1-7b84a855152a,Den Haag,2024-01-01,3.0,15.54
7f1e42cd-e04e-4a31-ac0e-1bd6ab3fbff4,Amsterdam,2024-01-01,5.0,12.39
e669af98-a849-4c11-aed2-d77f3cde0beb,Rotterdam,2024-01-01,1.0,2.15
e199f74b-8840-4d6b-a615-00d3bc3d1064,Amsterdam,2024-01-01,28.0,113.66
e1e66a91-32d5-492c-8a6f-cdd7f603b961,Den Haag,2024-01-01,4.0,0.0
e138bff1-b5a0-4ce6-9017-506977f66bf1,Amsterdam,2024-01-01,4.0,0.0
e1b1b26b-31a6-409e-adb9-c9ab3638192c,Hamburg,2024-01-01,3.0,5.7
e988ac2f-5fa5-4bcc-9410-9af86d364f99,Haarlem,2024-01-01,8.0,25.59
1e5c7f1b-d2e1-446b-a74e-a992801441aa,Amsterdam,2024-01-01,168.0,957.7
e1cabcd4-6dbb-4709-8f62-cb0ba034ea26,Hamburg,2024-01-01,1.0,6.49
1dfc914a-e7ab-4cf7-9e61-13cb5a17bf6b,Den Haag,2024-01-01,6.0,37.18
e40308ee-ddb2-454e-b1de-a86a8434c797,Rotterdam,2024-01-01,10.0,0.0
e983bbed-b11e-422e-bec0-9cf9a524a196,Amsterdam,2024-01-01,2.0,4.47
1e4da9cf-5c0d-463e-b1a3-9192463ab7db,Berlin,2024-01-01,19.0,79.17
e97dd63f-0182-4181-aa41-39740184aa77,Den Haag,2024-01-01,2.0,1.49
fd0b2f54-a2e3-4555-929b-bcc98264eb77,Amsterdam,2024-01-01,10.0,39.79
e2f5f104-a488-4489-85d0-c4925b6410c6,Berlin,2024-01-01,22.0,0.0
e4e0dd16-b86f-4274-8e37-13e8a2b1e3f1,Rotterdam,2024-01-01,80.0,191.53
e96fa6c0-e738-4a63-a099-8fd65db52e21,Zwolle,2024-01-01,1.0,1.86
1e115b02-d12f-4df0-88c0-76aa45bc33ea,Düsseldorf,2024-01-01,1.0,1.26
1e0a80b8-c266-4ac7-8e87-eeae8ac920d4,Rotterdam,2024-01-01,25.0,58.31
1e51c04e-cc0b-4170-b144-a1d90f52ed49,Berlin,2024-01-01,1.0,1.45
e647edb5-bb1e-4be3-9ab1-2d10cbb83f61,Den Haag,2024-01-01,2.0,7.69
e9343dde-f7a2-428a-969c-42f730dc09eb,Rotterdam,2024-01-01,7.0,36.82
e930d257-dcce-4b02-b66e-e037921941ee,Breda,2024-01-01,8.0,34.58
e8f93402-fee2-4ba8-a4a6-240dbc9241e0,Amsterdam,2024-01-01,162.0,429.75
e8f6fb88-b1e8-416d-b359-b9cb065569ef,Rotterdam,2024-01-01,4.0,39.32
1984c6ea-14fd-4980-865f-f6e73664222e,Berlin,2024-01-01,11.0,41.42
1cad2360-5710-4475-9db7-da17589343e8,Amsterdam,2024-01-01,18.0,79.61
1caa553a-ebcb-49db-94dc-341ca06a4a89,Hamburg,2024-01-01,4.0,11.98
e625811c-8674-4f7b-9de0-f00ceb12b9fd,Amsterdam,2024-01-01,2.0,6.32
e351eec5-2866-46ef-9849-f5b01257ce0e,Rotterdam,2024-01-01,15.0,61.72
e3e0dece-4bce-4ff3-8aaa-24e89eae3fde,Eindhoven,2024-01-01,27.0,53.83
1c92b815-1441-4238-b90a-bdad3f60a76d,Den Haag,2024-01-01,43.0,125.66
e11fa7d6-9afa-4bc3-ae26-d95b7354b6c7,Haarlem,2024-01-01,4.0,18.3
e2029054-f7c5-4e79-a59c-b09996d9584d,Berlin,2024-01-01,1.0,0.24
e8e66be4-a6e2-4079-80bb-7841a7a3fa8a,Groningen,2024-01-01,10.0,32.23
1c795963-cc87-485b-8842-1e27619afdff,Den Haag,2024-01-01,1.0,4.63
1c76b7f0-3a7b-4bac-ba38-45f0603161b1,Den Haag,2024-01-01,7.0,25.66
1c29d166-57cd-4d75-9d6b-9143123036ec,Rotterdam,2024-01-01,31.0,77.57
e8da53e8-e297-49eb-894c-481c57ac53c8,Den Haag,2024-01-01,1.0,7.69
e8d9ab24-9971-48d5-9617-4c1ff154f640,Den Haag,2024-01-01,3.0,9.67
1c5f9439-b08d-4516-b43f-6f9f4855d3f1,Amsterdam,2024-01-01,4.0,0.0
e3dd2b24-c6f7-48b0-9202-c7b9c75f1d15,Rotterdam,2024-01-01,39.0,138.03
e8d30033-60a0-4e1a-bfcc-09d27aabf77d,Den Haag,2024-01-01,6.0,12.64
e8e910f3-a58c-4a8f-8a3b-4ffbf1c84f28,Delft,2024-01-01,15.0,71.4
1cced3e3-5cc3-4a85-8cac-ba10590cfa09,Rotterdam,2024-01-01,2.0,9.26
1cecbec1-2c3d-44dc-9cd5-2f654b080856,Haarlem,2024-01-01,1.0,4.21
1ced5a96-e16d-4187-badf-303f8e78f16a,Rotterdam,2024-01-01,15.0,58.79
e92f55b1-7bd9-4cc3-9677-256ccd8eb213,Berlin,2024-01-01,2.0,3.43
e92edca6-78e0-4132-9848-a89458065cdc,Amsterdam,2024-01-01,2.0,4.21
e083cae0-6edd-49f9-94db-2d2430ac0d90,Den Haag,2024-01-01,1.0,5.21
1cb34568-67cc-48d6-87f8-c4f4a16d5572,Rotterdam,2024-01-01,1.0,0.66
e1042bb5-8568-4cc7-b662-8a6234e683c2,Den Bosch,2024-01-01,13.0,22.04
e6428d5d-96ba-4628-8f66-b4c4b025b06e,Hamburg,2024-01-01,35.0,125.71
e4cb1137-f903-4fb6-aa97-eaec46179591,Rotterdam,2024-01-01,12.0,24.07
1d42a250-e8f5-4c17-90f2-261accbb2d34,Den Haag,2024-01-01,2.0,3.64
e640dcd7-2066-44c9-9b08-9977267f67b9,Groningen,2024-01-01,2.0,1.4
e2ed7661-ecfc-45f8-b09e-7df143038353,Den Bosch,2024-01-01,8.0,1.61
1d2e6ac2-dc79-43c0-aed8-e96e6e51e511,Brussels,2024-01-01,3.0,15.49
e63d6f01-f3a7-4504-ba6d-7ae9b9611597,Amsterdam,2024-01-01,1.0,7.17
1d27e876-615a-447c-909e-126cfe03fbf6,Rotterdam,2024-01-01,12.0,20.8
e919d702-d5f6-4bc9-b8fa-af8ce3328782,Rotterdam,2024-01-01,1.0,4.83
e63c20b3-8aa0-4465-a22f-82e6f6bc3180,Amsterdam,2024-01-01,25.0,87.37
e6507fd4-80a9-4e2d-a1fc-7dd3d054ea14,Berlin,2024-01-01,7.0,22.72
1d1051da-acb7-4191-9750-7a011436ac0b,Zwolle,2024-01-01,1.0,1.06
e6397b41-c62a-4676-b03e-795cba24c052,Amsterdam,2024-01-01,15.0,68.5
e1e1b2df-f1e0-4001-b6cc-6e37a70ef00b,Brussels,2024-01-01,1.0,1.07
e635b3be-a865-4105-bd5c-9389030fa574,Amsterdam,2024-01-01,2.0,13.18
e18541f5-46b6-4c6e-a376-1e583f458207,Brussels,2024-01-01,1.0,3.35
ad69396b-5982-4cf0-b435-5dfaaa4d5bb0,Rotterdam,2024-01-01,2.0,7.51
ad6a4d0d-d9e7-4e6c-b35a-7656ec90d978,Rotterdam,2024-01-01,15.0,28.03
